seed psi n_pairs train_time train_loss test_loss delta_sigma_train delta_sigma_test
1234 0 100000 1189.086206 0.002700 0.002695 0.000003 0.000003 
1234 0 100000 601.254317 0.003583 0.003581 0.000004 0.000004 
1234 -0.01 100000 1193.940056 0.002725 0.002729 0.000003 0.000003 
1234 0.01 100000 1448.039062 0.003587 0.003586 0.000004 0.000004 
235 -0.01 100000 1184.235584 0.002983 0.002979 0.000003 0.000003 
235 0.01 100000 889.072257 0.003764 0.003784 0.000004 0.000004 
1234 -10 100000 601.879010 0.038264 0.038630 0.000051 0.000052 
235 -10 100000 604.889894 0.038114 0.038247 0.000051 0.000051 
1234 -1 100000 1746.544318 0.016214 0.016291 0.000022 0.000022 
235 -1 100000 1457.196282 0.015466 0.015561 0.000021 0.000021 
1234 -2 100000 1174.634131 0.027221 0.027504 0.000038 0.000038 
235 -2 100000 1166.993891 0.029494 0.029579 0.000042 0.000042 
1234 -3 100000 601.643548 0.043769 0.043978 0.000067 0.000067 
235 -3 100000 4881.199295 0.020210 0.020467 0.000032 0.000032 
1234 -4.5 100000 5168.382395 0.022202 0.022777 0.000045 0.000047 
235 -4.5 100000 8029.383123 0.014934 0.015260 0.000036 0.000038 
1234 -5 100000 884.696506 0.060957 0.061864 0.000113 0.000115 
235 -5 100000 11469.000570 0.023836 0.024950 0.000053 0.000059 
1234 -5.5 100000 7379.078520 0.028250 0.029104 0.000050 0.000052 
235 -5.5 100000 8062.529408 0.032162 0.032813 0.000061 0.000063 
1234 -6 100000 5707.051785 0.016672 0.017159 0.000031 0.000033 
235 -6 100000 598.779927 0.058480 0.058491 0.000096 0.000096 
