seed psi n_pairs train_time train_loss test_loss delta_sigma_train delta_sigma_test
1234 0 100000 631.289619 0.004035 0.004047 0.000004 0.000004 
320 0 100000 478.267265 0.004181 0.004193 0.000004 0.000004 
1234 -10 100000 1254.123467 0.010333 0.010667 0.000012 0.000012 
235 -10 100000 825.637042 0.011768 0.012131 0.000014 0.000014 
320 -10 100000 1041.525912 0.010484 0.010857 0.000012 0.000013 
1234 -1 100000 1282.411861 0.005589 0.005718 0.000006 0.000006 
235 -1 100000 843.676119 0.007363 0.007523 0.000008 0.000008 
320 -1 100000 1037.760979 0.006001 0.006128 0.000007 0.000007 
1234 -2 100000 1199.487538 0.008501 0.008781 0.000010 0.000011 
235 -2 100000 1173.426664 0.008598 0.008852 0.000010 0.000010 
320 -2 100000 949.125516 0.009019 0.009325 0.000011 0.000011 
1234 -3 100000 1190.320256 0.011735 0.012234 0.000017 0.000018 
235 -3 100000 948.618789 0.013888 0.014376 0.000019 0.000020 
320 -3 100000 1070.814971 0.012244 0.012749 0.000017 0.000018 
1234 -4 100000 1398.256387 0.016308 0.017069 0.000030 0.000032 
235 -4 100000 930.710141 0.017997 0.018781 0.000034 0.000036 
320 -4 100000 1167.089662 0.016749 0.017631 0.000030 0.000032 
1234 -4.5 100000 1780.301256 0.016486 0.017500 0.000038 0.000042 
235 -4.5 100000 968.670829 0.020120 0.021149 0.000042 0.000045 
320 -4.5 100000 982.970227 0.019808 0.020951 0.000044 0.000046 
1234 -5 100000 1671.911527 0.020140 0.021372 0.000053 0.000055 
235 -5 100000 715.347399 0.024183 0.025627 0.000057 0.000064 
1234 -5.5 100000 1324.649872 0.018702 0.019969 0.000043 0.000047 
235 -5.5 100000 1519.187385 0.017661 0.018646 0.000040 0.000043 
320 -5.5 100000 1656.674104 0.017113 0.018275 0.000038 0.000043 
1234 -6 100000 1327.843163 0.017575 0.018550 0.000031 0.000034 
235 -6 100000 1841.434815 0.015869 0.016571 0.000031 0.000032 
320 -6 100000 1215.989247 0.017023 0.018071 0.000033 0.000036 
1234 -8 100000 1160.948587 0.013160 0.013700 0.000017 0.000018 
235 -8 100000 1451.349899 0.012201 0.012694 0.000016 0.000016 
320 -8 100000 1048.937726 0.013225 0.013773 0.000017 0.000018 
