model_name loss_func psi n_pairs train_time sigma_train sigma_test E_train E_test E_max_train E_max_test
100_1000_100_1_seed1234 weighted_MAPE 0.0 100000 705.676 1.99678 1.99793 7042.21 10230.1 28961 34000.6
100_1000_100_1_seed1234 weighted_MAPE 0.01 100000 1772.59 0.00269061 0.00270837 1.14722e-05 1.16243e-05 0.0388256 0.047207
100_1000_100_1_seed1234 weighted_MAPE -0.01 100000 4356.22 0.00306617 0.0030879 1.67898e-05 1.70778e-05 0.137772 0.141827
100_1000_100_1_seed1234 weighted_MAPE -10.0 100000 4086.65 0.0121579 0.0122795 0.000282583 0.000290008 0.135142 0.137017
100_1000_100_1_seed1234 weighted_MAPE -1.0 100000 7900.71 0.00553696 0.00556719 5.11685e-05 5.18559e-05 0.113713 0.116044
100_1000_100_1_seed1234 weighted_MAPE -15.0 100000 9538.39 0.00662593 0.00663536 7.14121e-05 7.16259e-05 0.0540275 0.0533201
100_1000_100_1_seed1234 weighted_MAPE -2.0 100000 438.834 2.00286 2.02035 8577.73 10501.2 31428.4 38871
100_1000_100_1_seed1234 weighted_MAPE -3.0 100000 245.208 1.99791 1.99784 8969.05 8260.74 19835.8 32171.1
100_1000_100_1_seed1234 weighted_MAPE -4.0 100000 6264.01 0.0157368 0.0161181 0.000636987 0.000679951 0.321182 0.366991
100_1000_100_1_seed1234 weighted_MAPE -4.5 100000 9114 0.0169759 0.0177854 0.000937919 0.00109161 0.536235 0.596123
100_1000_100_1_seed1234 weighted_MAPE -5.0 100000 633.276 0.478263 0.47846 0.422965 0.424202 13.1334 13.7664
100_1000_100_1_seed1234 weighted_MAPE -5.5 100000 10378 0.0106868 0.0115137 0.000550254 0.000679072 0.524866 0.579628
100_1000_100_1_seed1234 weighted_MAPE -6.0 100000 241.55 2.65819 6.28572 31470 19108.9 48870.7 48953.3
100_1000_100_1_seed1234 weighted_MAPE -8.0 100000 6258.39 0.015074 0.0153261 0.000514083 0.000539408 0.212778 0.198594
