model_name loss_func psi n_pairs train_time sigma_train sigma_test E_train E_test E_max_train E_max_test
100_500_100_1_seed1234 weighted_MAPE 0.0 100000 10440.72356 0.002498736838 0.002511680126 1.041550058e-05 1.0523122e-05 0.002034611534 0.002077550162
100_500_100_1_seed320 weighted_MAPE 0.0 100000 7278.063501 0.00345501001 0.003463574685 1.901085488e-05 1.911536128e-05 0.002705004532 0.002680335892
100_500_100_1_seed1234 weighted_MAPE 0.01 100000 6296.59593 0.002639623126 0.002650097711 1.124871778e-05 1.131174668e-05 0.002060362371 0.00215940713
100_500_100_1_seed235 weighted_MAPE 0.01 100000 455.3749828 2.017181635 2.024603367 9006.043945 8489.445312 553.4107056 505.9241028
100_500_100_1_seed320 weighted_MAPE 0.01 100000 3997.494654 0.003249642206 0.003270716872 2.209995364e-05 2.214533924e-05 0.006470794789 0.006262361538
100_500_100_1_seed1234 weighted_MAPE -0.01 100000 224.2883694 2.065393925 2.029781818 11770.50488 12139.89844 676.6193848 657.8685913
100_500_100_1_seed235 weighted_MAPE -0.01 100000 6315.368762 0.00207116059 0.002082678257 7.122052921e-06 7.200065738e-06 0.001929652644 0.002036909806
100_500_100_1_seed320 weighted_MAPE -0.01 100000 10351.56936 0.002701415448 0.002713357797 1.405830153e-05 1.407073887e-05 0.003925099969 0.003881375771
100_500_100_1_seed1234 weighted_MAPE -10.0 100000 8844.882383 0.008288450539 0.008504491299 0.0001151149118 0.0001217523895 0.009237242863 0.009866939858
100_500_100_1_seed235 weighted_MAPE -10.0 100000 2648.492278 0.007234673016 0.007483685855 8.553833322e-05 9.153691644e-05 0.04540260509 0.04745960981
100_500_100_1_seed320 weighted_MAPE -10.0 100000 12185.59961 0.00985351298 0.01011983491 0.0001734271791 0.0001841795165 0.08404818177 0.08611272275
100_500_100_1_seed1234 weighted_MAPE -1.0 100000 5566.38851 0.01594342291 0.0161432866 0.000499853224 0.0005120286369 0.02632513456 0.02672584727
100_500_100_1_seed235 weighted_MAPE -1.0 100000 11584.08272 0.005247423425 0.005281141959 4.501888179e-05 4.562633694e-05 0.00362158264 0.003619565628
100_500_100_1_seed320 weighted_MAPE -1.0 100000 8455.630057 0.00272622332 0.002747580875 1.251585036e-05 1.275293471e-05 0.0027329484 0.002680515172
100_500_100_1_seed1234 weighted_MAPE -15.0 100000 5791.723049 0.00653603347 0.006575718522 6.963358464e-05 7.043432561e-05 0.0403441079 0.04085418582
100_500_100_1_seed235 weighted_MAPE -15.0 100000 6355.300812 0.006239389535 0.006273809355 6.35216129e-05 6.431200745e-05 0.03946008906 0.03987348452
100_500_100_1_seed320 weighted_MAPE -15.0 100000 7397.194712 0.006188610569 0.006310584024 6.229362771e-05 6.48136338e-05 0.03663282096 0.03789618611
100_500_100_1_seed1234 weighted_MAPE -2.0 100000 9110.253816 0.005102224648 0.005206977017 4.748172432e-05 4.993231414e-05 0.005995511543 0.006065208931
100_500_100_1_seed235 weighted_MAPE -2.0 100000 9869.287707 0.006480251439 0.006606271025 7.2084571e-05 7.500650827e-05 0.006965820212 0.006559255999
100_500_100_1_seed320 weighted_MAPE -2.0 100000 10822.71988 0.006947115995 0.007028117776 8.956469537e-05 9.232052253e-05 0.007153749932 0.007380160503
100_500_100_1_seed1234 weighted_MAPE -3.0 100000 460.6761451 1.998368382 2.003358364 8357.700195 8851.84375 614.8181763 657.784668
100_500_100_1_seed235 weighted_MAPE -3.0 100000 8595.391132 0.007004637271 0.007234005723 9.094460256e-05 9.915359988e-05 0.007745448966 0.007531218696
100_500_100_1_seed320 weighted_MAPE -3.0 100000 6570.490175 0.01205637865 0.01239496469 0.0003115764121 0.000333421136 0.01557693724 0.01574233547
100_500_100_1_seed1234 weighted_MAPE -4.0 100000 417.2154677 2.000679016 1.997583032 9250.995117 8595.546875 681.5184326 738.289978
100_500_100_1_seed235 weighted_MAPE -4.0 100000 2154.34759 0.01099693123 0.01156677399 0.000311574986 0.0003555443545 0.01966016181 0.02175017074
100_500_100_1_seed320 weighted_MAPE -4.0 100000 8103.850004 0.01362623088 0.01428388059 0.0005497956881 0.0006148171378 0.02724563144 0.02953570709
100_500_100_1_seed1234 weighted_MAPE -4.5 100000 457.6003532 1.996931314 1.997521996 8238.211914 8416.632812 719.3165894 712.2406006
100_500_100_1_seed235 weighted_MAPE -4.5 100000 15326.54774 0.008284104057 0.008883718401 0.0003059525334 0.0003868728236 0.03555958346 0.03555923328
100_500_100_1_seed320 weighted_MAPE -4.5 100000 4945.344596 0.02380757965 0.02451559901 0.00168499432 0.001812870731 0.05881872028 0.05934354663
100_500_100_1_seed1234 weighted_MAPE -5.0 100000 225.9175 2.180957079 2.225268364 7058.858887 6496.306641 8370.675781 7455.623047
100_500_100_1_seed235 weighted_MAPE -5.0 100000 8927.047391 0.01393291168 0.01502514165 0.0009932313114 0.001382659422 0.4327225685 0.5041153431
100_500_100_1_seed1234 weighted_MAPE -5.5 100000 6786.766261 0.02692910656 0.02791403793 0.001863601967 0.002083594212 0.1210726723 0.1235870123
100_500_100_1_seed235 weighted_MAPE -5.5 100000 613.9284735 1.997735977 1.997976303 8649.862305 9730.738281 773.743042 720.2820435
100_500_100_1_seed320 weighted_MAPE -5.5 100000 8313.892973 0.01256215852 0.0134664597 0.0006185414968 0.0007855600561 0.1039472744 0.09687476605
100_500_100_1_seed1234 weighted_MAPE -6.0 100000 12736.64261 0.006192447618 0.006715229247 0.0001262138103 0.0001627702877 0.03917729482 0.04339607432
100_500_100_1_seed235 weighted_MAPE -6.0 100000 7670.817496 0.02045280673 0.02078502625 0.001081872964 0.001131640747 0.08416802436 0.09154327214
100_500_100_1_seed320 weighted_MAPE -6.0 100000 423.8658636 0.4828552902 0.4832518101 0.4446876049 0.4447690248 6.429751396 6.192666054
100_500_100_1_seed1234 weighted_MAPE -8.0 100000 613.5311446 0.4828196168 0.4820064306 0.4398857653 0.4382083416 0.9392251372 0.9456095099
100_500_100_1_seed235 weighted_MAPE -8.0 100000 421.6325507 1.997552872 1.997630596 8168.083496 8029.525879 8543.332031 8622.185547
100_500_100_1_seed320 weighted_MAPE -8.0 100000 8125.093013 0.01174850576 0.01204399299 0.0002484872239 0.0002658803714 0.1054308116 0.1079829782
