model_name loss_func psi n_pairs train_time sigma_train sigma_test E_train E_test E_max_train E_max_test
100_500_100_1_seed1234 weighted_MAPE -0.01 100000 225.8894246 0.7493156195 0.7501026392 1.100767493 1.107495785 12.18401051 12.36482048
100_500_100_1_seed235 weighted_MAPE -0.01 100000 3741.548415 0.005351317115 0.005371202249 4.544301191e-05 4.579986853e-05 0.05982892215 0.05916185305
100_500_100_1_seed320 weighted_MAPE -0.01 100000 2038.503349 0.004489885643 0.004486171994 3.413271043e-05 3.417387779e-05 0.07571285963 0.07367040962
100_500_100_1_seed1234 weighted_MAPE -10.0 100000 7221.768059 0.03840168193 0.03874362633 0.002990994835 0.003052714048 0.2840192914 0.2848812044
100_500_100_1_seed235 weighted_MAPE -10.0 100000 915.4423826 0.03706144914 0.03722232953 0.002693202812 0.002704893239 0.2589869797 0.2562190294
100_500_100_1_seed320 weighted_MAPE -10.0 100000 152.5605414 0.7299233079 0.7301820517 0.9724116921 0.9734880328 9.739786148 10.2450161
100_500_100_1_seed1234 weighted_MAPE -3.0 100000 3754.25328 0.04641156644 0.04663425311 0.004661133047 0.004701887723 0.3819824159 0.3836126328
100_500_100_1_seed235 weighted_MAPE -3.0 100000 1954.832006 0.04175435379 0.04193731025 0.003807921195 0.003832677845 0.3345912695 0.3375315666
100_500_100_1_seed320 weighted_MAPE -3.0 100000 1353.360934 0.04204225168 0.04226449877 0.003789442126 0.003838398028 0.3297073543 0.3358477056
100_500_100_1_seed1234 weighted_MAPE -4.0 100000 4326.438488 0.0558023788 0.05622843653 0.007853582501 0.007986681536 0.5808647871 0.586845994
100_500_100_1_seed235 weighted_MAPE -4.0 100000 929.9599223 0.05275419354 0.0529852584 0.006725058425 0.006781327073 0.5266833305 0.5266891122
100_500_100_1_seed320 weighted_MAPE -4.0 100000 1802.788079 0.05267373845 0.05318238214 0.006642457098 0.006786843296 0.5283562541 0.5227593184
100_500_100_1_seed1234 weighted_MAPE -4.5 100000 1437.771226 0.05714350194 0.05780076608 0.008393093944 0.008673973382 0.6383756995 0.6602642536
100_500_100_1_seed235 weighted_MAPE -4.5 100000 727.2858322 0.05708121881 0.05748006701 0.008360793814 0.008524720557 0.6409639716 0.6537965536
100_500_100_1_seed320 weighted_MAPE -4.5 100000 1724.730452 0.06253771484 0.06335074455 0.009700606577 0.009994935244 0.6935258508 0.6839081645
100_500_100_1_seed1234 weighted_MAPE -5.0 100000 1841.054313 0.05969045684 0.06058179215 0.009485541843 0.00982707087 0.7040284276 0.7267748713
100_500_100_1_seed235 weighted_MAPE -5.0 100000 2736.657977 0.06109154597 0.06189354509 0.01021817792 0.01072938088 0.7365777493 0.7707127333
100_500_100_1_seed1234 weighted_MAPE -5.5 100000 7400.556865 0.05885376781 0.05990659818 0.009057961404 0.00952742435 0.6677610874 0.6874101758
100_500_100_1_seed235 weighted_MAPE -5.5 100000 1840.860411 0.0611679852 0.06137056276 0.009554900229 0.009682570584 0.6819945574 0.7010340691
100_500_100_1_seed320 weighted_MAPE -5.5 100000 600.7498195 0.05807253346 0.05906756595 0.008560827933 0.009021485224 0.6538334489 0.6686438322
100_500_100_1_seed1234 weighted_MAPE -6.0 100000 2077.822944 0.05589517951 0.05671336874 0.007439826615 0.007741578855 0.5667684078 0.574272275
100_500_100_1_seed235 weighted_MAPE -6.0 100000 1700.522651 0.1011355147 0.1012454852 0.02042732947 0.02041739598 0.7326188684 0.7320098877
100_500_100_1_seed320 weighted_MAPE -6.0 100000 1546.43754 0.05617221072 0.05691182986 0.007487823255 0.007775743026 0.5625946522 0.5658008456
100_500_100_1_seed1234 weighted_MAPE -8.0 100000 1334.118759 0.04496080428 0.04536672682 0.004224539734 0.004318529274 0.3422117531 0.3447791338
100_500_100_1_seed235 weighted_MAPE -8.0 100000 824.6984611 0.04552322254 0.0457268469 0.004276523367 0.004300190136 0.341771394 0.3460726738
100_500_100_1_seed320 weighted_MAPE -8.0 100000 3648.79605 0.04452968016 0.04492072761 0.004276811611 0.004374771379 0.3651114106 0.3687976301
