100_500_100_1_seed1234 0.5 100000 1169.281043 0.022855 0.023261 0.000097 0.000096 0.007265 0.007271 0.022949 0.023361
100_500_100_1_seed1234 0.5 100000 3170.69 2.3538e-05 2.36891e-05 2.35397e-05 2.36862e-05 0.00219499 0.0021995
100_500_100_1_seed1235 0.5 100000 3219.49 2.02002e-05 2.03761e-05 2.02061e-05 2.03763e-05 0.00163858 0.00166973
100_500_100_1_seed2345 0.5 100000 4027.09 1.08079e-05 1.11307e-05 1.08068e-05 1.11312e-05 0.00150268 0.00159815
100_500_100_1_seed1234 max_error 0.5 100000 1164.56 0.0682641 0.0683091 0.00726477 0.00727076 0.0229487 0.0233612
100_500_100_1_seed1235 max_error 0.5 100000 1180.78 0.0720699 0.0719938 0.00806483 0.00806092 0.0237233 0.0245005
100_500_100_1_seed2345 max_error 0.5 100000 1468.94 0.0692509 0.0694296 0.00754516 0.00757781 0.024054 0.0250948
100_500_100_1_seed1234 MSE_plus_max_error 0.5 100000 1829.87 0.0571546 0.0573199 0.00516581 0.00519964 0.0220553 0.022494
100_500_100_1_seed1234 MSE_plus_max_error 0.5 100000 3044.3 0.0034541 0.00347986 1.8751e-05 1.90719e-05 0.00167944 0.00177003
100_500_100_1_seed1234 max_error 0.5 100000 42.7072 9.89817 2.95352 291624 1.11279e+07 1531.56 2450
100_500_100_1_seed1234 max_error 0.5 100000 927.109 0.513022 0.51252 0.503493 0.502624 6.28083 6.49193
100_500_100_1_seed1235 max_error 0.5 100000 2487.1 0.0201836 0.0201867 0.000632966 0.000633051 0.0820613 0.0824341
100_500_100_1_seed2345 max_error 0.5 100000 628.998 0.657393 0.656562 0.808712 0.803805 7.69457 7.51072
100_500_100_1_seed1234 weighted_MAPE 0.5 100000 324.337 1.1921 1.19286 6.77052 6.82732 44.9296 45.728
